Date,Open,High,Low,Close,Volume,Market Cap
"Aug 17, 2017",2.23,2.24,2.05,2.08,"4,849,940","247,723,000"
"Aug 16, 2017",2.17,2.25,2.11,2.24,"5,825,960","240,927,000"
"Aug 15, 2017",2.28,2.28,2.07,2.17,"7,013,170","253,094,000"
"Aug 14, 2017",2.24,2.39,2.08,2.28,"6,927,410","248,858,000"
"Aug 13, 2017",2.33,2.40,2.06,2.24,"5,540,350","258,204,000"
"Aug 12, 2017",2.20,2.34,2.11,2.34,"3,115,110","244,160,000"
"Aug 11, 2017",2.18,2.30,2.12,2.19,"3,014,740","241,148,000"
"Aug 10, 2017",2.28,2.30,2.16,2.18,"3,331,010","252,942,000"
"Aug 09, 2017",2.36,2.46,2.17,2.28,"4,068,390","260,632,000"
"Aug 08, 2017",2.13,2.38,2.05,2.36,"5,271,700","235,963,000"
"Aug 07, 2017",2.15,2.20,2.11,2.14,"2,849,090","237,380,000"
"Aug 06, 2017",2.18,2.23,2.12,2.16,"3,047,020","241,330,000"
"Aug 05, 2017",2.09,2.22,2.06,2.18,"4,122,620","230,484,000"
"Aug 04, 2017",2.08,2.12,2.04,2.08,"3,130,930","230,212,000"
"Aug 03, 2017",2.07,2.12,2.02,2.08,"3,850,270","228,412,000"
"Aug 02, 2017",2.06,2.25,2.02,2.07,"3,877,300","227,052,000"
"Aug 01, 2017",1.93,2.09,1.78,2.05,"2,570,410","212,412,000"
"Jul 31, 2017",1.79,1.94,1.75,1.93,"1,577,570","197,460,000"
"Jul 30, 2017",1.88,1.89,1.77,1.79,"1,464,650","206,800,000"
"Jul 29, 2017",1.83,1.88,1.76,1.87,"2,201,150","201,880,000"
"Jul 28, 2017",1.96,2.00,1.80,1.84,"3,334,170","216,377,000"
"Jul 27, 2017",1.95,2.02,1.91,1.96,"2,402,090","214,880,000"
"Jul 26, 2017",2.04,2.11,1.87,1.96,"2,562,130","224,534,000"
"Jul 25, 2017",2.22,2.48,1.87,2.04,"8,964,080","244,539,000"
